YEAR,DATA_VALUE,CATEGORY,INDICATOR_NAME,SIGN,INDICATOR_TYPE
2019,27348976,Commercial,Commercial_LONGFINSQUID_Landings_LBS,N/A,Socioeconomic
2023,39064804,Commercial,Commercial_LONGFINSQUID_Landings_LBS,N/A,Socioeconomic
2013,24707266,Commercial,Commercial_LONGFINSQUID_Landings_LBS,N/A,Socioeconomic
2006,35111384,Commercial,Commercial_LONGFINSQUID_Landings_LBS,N/A,Socioeconomic
2002,37143404,Commercial,Commercial_LONGFINSQUID_Landings_LBS,N/A,Socioeconomic
2001,31491252,Commercial,Commercial_LONGFINSQUID_Landings_LBS,N/A,Socioeconomic
2020,20522308,Commercial,Commercial_LONGFINSQUID_Landings_LBS,N/A,Socioeconomic
2010,14877557,Commercial,Commercial_LONGFINSQUID_Landings_LBS,N/A,Socioeconomic
2016,40061366,Commercial,Commercial_LONGFINSQUID_Landings_LBS,N/A,Socioeconomic
2014,26564140,Commercial,Commercial_LONGFINSQUID_Landings_LBS,N/A,Socioeconomic
1999,42145170,Commercial,Commercial_LONGFINSQUID_Landings_LBS,N/A,Socioeconomic
2018,25475607,Commercial,Commercial_LONGFINSQUID_Landings_LBS,N/A,Socioeconomic
2012,28226439,Commercial,Commercial_LONGFINSQUID_Landings_LBS,N/A,Socioeconomic
2008,25123704,Commercial,Commercial_LONGFINSQUID_Landings_LBS,N/A,Socioeconomic
2005,37446060,Commercial,Commercial_LONGFINSQUID_Landings_LBS,N/A,Socioeconomic
2004,30198162,Commercial,Commercial_LONGFINSQUID_Landings_LBS,N/A,Socioeconomic
1997,35522029,Commercial,Commercial_LONGFINSQUID_Landings_LBS,N/A,Socioeconomic
2021,23272223,Commercial,Commercial_LONGFINSQUID_Landings_LBS,N/A,Socioeconomic
2011,21049333,Commercial,Commercial_LONGFINSQUID_Landings_LBS,N/A,Socioeconomic
2009,20450323,Commercial,Commercial_LONGFINSQUID_Landings_LBS,N/A,Socioeconomic
2007,27378689,Commercial,Commercial_LONGFINSQUID_Landings_LBS,N/A,Socioeconomic
1998,42169884,Commercial,Commercial_LONGFINSQUID_Landings_LBS,N/A,Socioeconomic
2000,38553584,Commercial,Commercial_LONGFINSQUID_Landings_LBS,N/A,Socioeconomic
2017,17873803,Commercial,Commercial_LONGFINSQUID_Landings_LBS,N/A,Socioeconomic
2024,28715814,Commercial,Commercial_LONGFINSQUID_Landings_LBS,N/A,Socioeconomic
2022,40404617,Commercial,Commercial_LONGFINSQUID_Landings_LBS,N/A,Socioeconomic
2015,26309190,Commercial,Commercial_LONGFINSQUID_Landings_LBS,N/A,Socioeconomic
2003,26399648,Commercial,Commercial_LONGFINSQUID_Landings_LBS,N/A,Socioeconomic
1996,27367653,Commercial,Commercial_LONGFINSQUID_Landings_LBS,N/A,Socioeconomic
2014,335,Commercial,N_Commercial_Vessels_Landing_LONGFINSQUID,N/A,Socioeconomic
2007,360,Commercial,N_Commercial_Vessels_Landing_LONGFINSQUID,N/A,Socioeconomic
2001,442,Commercial,N_Commercial_Vessels_Landing_LONGFINSQUID,N/A,Socioeconomic
2002,427,Commercial,N_Commercial_Vessels_Landing_LONGFINSQUID,N/A,Socioeconomic
2010,329,Commercial,N_Commercial_Vessels_Landing_LONGFINSQUID,N/A,Socioeconomic
2006,383,Commercial,N_Commercial_Vessels_Landing_LONGFINSQUID,N/A,Socioeconomic
2019,285,Commercial,N_Commercial_Vessels_Landing_LONGFINSQUID,N/A,Socioeconomic
2012,339,Commercial,N_Commercial_Vessels_Landing_LONGFINSQUID,N/A,Socioeconomic
2021,265,Commercial,N_Commercial_Vessels_Landing_LONGFINSQUID,N/A,Socioeconomic
2013,301,Commercial,N_Commercial_Vessels_Landing_LONGFINSQUID,N/A,Socioeconomic
1998,492,Commercial,N_Commercial_Vessels_Landing_LONGFINSQUID,N/A,Socioeconomic
1996,442,Commercial,N_Commercial_Vessels_Landing_LONGFINSQUID,N/A,Socioeconomic
2004,356,Commercial,N_Commercial_Vessels_Landing_LONGFINSQUID,N/A,Socioeconomic
2017,322,Commercial,N_Commercial_Vessels_Landing_LONGFINSQUID,N/A,Socioeconomic
2015,315,Commercial,N_Commercial_Vessels_Landing_LONGFINSQUID,N/A,Socioeconomic
2005,343,Commercial,N_Commercial_Vessels_Landing_LONGFINSQUID,N/A,Socioeconomic
