"YEAR","DATA_VALUE","CATEGORY","INDICATOR_NAME","SIGN","INDICATOR_TYPE"
2007,3.21416774372872,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","N/A","Socioeconomic"
2008,4.36053517542265,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","N/A","Socioeconomic"
2009,2.47427966800294,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","N/A","Socioeconomic"
2010,3.16118564303964,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","N/A","Socioeconomic"
2011,4.25331104746496,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","N/A","Socioeconomic"
2012,4.3083032709478,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","N/A","Socioeconomic"
2013,4.0988906264839,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","N/A","Socioeconomic"
2014,3.7451818662684,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","N/A","Socioeconomic"
2015,2.1985436571957,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","N/A","Socioeconomic"
2016,1.77880473951017,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","N/A","Socioeconomic"
2017,2.13575062753138,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","N/A","Socioeconomic"
2018,2.65018700140779,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","N/A","Socioeconomic"
2019,2.40625304159654,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","N/A","Socioeconomic"
2020,1.52511478521668,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","N/A","Socioeconomic"
2021,2.42223840518533,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","N/A","Socioeconomic"
2022,4.06523133240687,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","N/A","Socioeconomic"
2023,2.98325802814139,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","N/A","Socioeconomic"
2024,2.49451184002807,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","N/A","Socioeconomic"
2025,2.329,"Commercial","AVGANNUAL_DIESEL_PRICE2025dols","N/A","Socioeconomic"
1996,1.74668099864584,"Commercial","AVGPRICE_LONGFINSQUID_2025_DOLlb","N/A","Socioeconomic"
